"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AKR1B10",67.2292856771825,-4.15897502049735,0.850599469453538,-4.88946345472006,1.01111191171931e-06,0.00125370099269258
"PDE4D",182.784407489287,-2.73561152022823,0.680980228533758,-4.01716732087563,5.89019031932228e-05,0.0149854818550568
"WDR76",241.654594396931,-1.61006817089775,0.414894179110716,-3.88067187240073,0.000104168300981736,0.0230012170345835
"WDR62",910.776158316507,-1.22155182181354,0.324732810492406,-3.7617135760358,0.000168753233942152,0.0305632963810512
"KRT81",125.430561330059,-3.45833700474267,0.849868054616378,-4.06926344149237,4.71619970692238e-05,0.0135750755492646
"ABCB1",37.9941855218214,-2.74830276461345,0.71071422593843,-3.866958989015,0.000110200951404982,0.0233727517854857
"FN1",7112.33607616681,-3.76717555102499,0.950942740370847,-3.96151670452406,7.4475170590548e-05,0.0173980474601311
"MAGEA6",4.49648807115953,-4.1639643263055,1.15329581245059,-3.61049115183872,0.000305617728125694,0.0464740769779062
"CKAP2L",411.06020227049,-1.00620794370164,0.239317065386338,-4.20449725169948,2.6166311780507e-05,0.00912686577614981
"DMBX1",24.7659591932986,-4.48850034460049,0.851974727575897,-5.26834916497055,1.37656084394819e-07,0.000552598817738339
"SPC25",346.073152823961,-1.1932085377343,0.286139118125246,-4.17002940930301,3.04560334076788e-05,0.0102275167187161
"MAGEC2",177.445681520563,-10.2495149024918,1.65138333365505,-6.20662367943743,5.41350198718207e-10,8.72602385313877e-06
"MKI67",4667.61981589369,-1.52959411506262,0.358439785928811,-4.26736700307709,1.97793617386045e-05,0.00777618370401378
"HJURP",681.314620536506,-1.09272750445439,0.290003104330312,-3.7679855426988,0.00016457023104573,0.0304908914278865
"MND1",74.340168765442,-1.29702676089774,0.347656980524463,-3.73076576498217,0.00019089864818323,0.0330870463447901
"SPINK6",6.77724985568598,-5.64809366904248,1.10924581814126,-5.09183228520697,3.54619723015022e-07,0.000635123923919904
"E2F8",222.249674862296,-1.64634802673649,0.364286638017515,-4.51937528012579,6.20223714017486e-06,0.00357049501651709
"RPS4Y1",7.66196266480122,-5.53114066382545,1.0986352219042,-5.03455610519993,4.78957387588214e-07,0.000741469180299611
"CDKN3",338.662084254187,-1.4732325960977,0.293237518486956,-5.02402490547346,5.05996710918526e-07,0.000741469180299611
"PLAT",129.256229237119,-2.89309068539241,0.659185217777998,-4.38888890006444,1.13931250591373e-05,0.00573893071338233
"HSD17B6",83.6234394556982,-1.22255558173979,0.307206954424729,-3.97958302743871,6.90362468950014e-05,0.0166088845328437
"RP11-169F17.1",25.4494263761138,-6.39846167610283,1.4133563148006,-4.52713983664164,5.97873791212259e-06,0.00356930653353718
"CDC45",373.814085653751,-1.13085457763826,0.241617071345059,-4.68035876497842,2.86373337335416e-06,0.00230802591225479
"FLG",98.1679215893971,-3.38524586415332,0.906911118817847,-3.7327206535586,0.000189422633768423,0.0330870463447901
"ARHGAP33",250.580136839275,-1.71361009134839,0.335890571631417,-5.10169155098757,3.36631072332548e-07,0.000635123923919904
"ESPL1",728.986660163105,-1.1586846980932,0.288604247407683,-4.01478740697961,5.94994006280562e-05,0.0149854818550568
"KIF2C",1067.81754426101,-1.04893062724709,0.291986071223517,-3.59239953759345,0.000327646984651337,0.0484526765650908
"KIF15",424.945414481905,-1.0015047746422,0.276720621571025,-3.61919096942018,0.000295525495390889,0.0453673853352928
"LMNB1",2331.66332515006,-1.02429751376297,0.265626734685862,-3.85615369241477,0.000115185083851161,0.0238034405973956
"RUNX1T1",19.4087372735023,-5.70936731676364,1.41092936343492,-4.04652951786625,5.1982572395077e-05,0.0144229173224781
"CCDC109B",117.004630690313,-1.78976807251499,0.450227511149741,-3.97525257384757,7.03046029506802e-05,0.0166652925729708
"CCNA2",875.709629818041,-1.20094433074687,0.254594748787614,-4.71708209405652,2.39251169516335e-06,0.00226852329496106
"GNG2",93.9058681540004,-5.20480100832065,1.13452369474091,-4.58765297934941,4.4825693776278e-06,0.00301060565824927
"HMGB2",1545.63830033222,-1.1440419386886,0.300147241338734,-3.81160237750606,0.000138068849049235,0.0264944259264835
"SP8",56.9758546172048,-7.67739828577169,1.79061399903299,-4.28757861265343,1.80631340555065e-05,0.00727899144601775
"E2F2",268.54154592434,-2.28058974090715,0.41572145542398,-5.48586009009627,4.1146246857687e-08,0.000221078784366352
"CPA4",59.8954011670879,-4.19392357280519,0.9005529207973,-4.65705398977789,3.20766347306951e-06,0.00246211083440035
"DDX3Y",3.54539517905476,-3.49953845894309,0.916898058682676,-3.81671487446591,0.000135240300795806,0.0262643181750313
"ALDH1A2",394.214109018361,-5.08554003441747,1.10223567157017,-4.61384091042251,3.95295040592399e-06,0.00277033076491691
"NGFR",104.602966740299,-3.20223690865762,0.838912912756764,-3.81712673623619,0.000135014825727928,0.0262643181750313
"GTSE1",666.776629685672,-1.16993009814944,0.281351452525524,-4.15825149523016,3.2069284741758e-05,0.010338496015048
"PBK",501.646222152303,-1.28984061415207,0.319037669748896,-4.04291009010709,5.27918681075877e-05,0.0144229173224781
"MAGEC1",87.7495867979501,-10.0211129476856,2.22122279857992,-4.51152984477394,6.43617251185847e-06,0.00357740223167747
