"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
"IGHM",1.12667202400365e-15,4.88431341814342,0.365,0.103,1.69147270963668e-11,"IGHM","Upregulated"
"PTGDS",4.35335444516527e-33,4.1390607737327,0.541,0.103,6.53569102852662e-29,"PTGDS","Upregulated"
"TRBC2",3.71805158781881e-27,3.7368944255284,0.473,0.082,5.58191084879239e-23,"TRBC2","Upregulated"
"TRAC",1.72423313375607e-34,3.71286256247015,0.582,0.142,2.58859120370799e-30,"TRAC","Upregulated"
"CCL21",1.53732081575597e-15,3.60490080160645,0.339,0.077,2.30797974069443e-11,"CCL21","Upregulated"
"IL7R",2.16627991256079e-26,3.59387121420874,0.503,0.137,3.25223603272752e-22,"IL7R","Upregulated"
"RIPOR2",1.19598919680769e-14,3.47981747499101,0.276,0.034,1.79553858116739e-10,"RIPOR2","Upregulated"
"GNLY",1.68038102222256e-10,3.47689407978425,0.263,0.073,2.52275602866273e-06,"GNLY","Upregulated"
"BCL11B",9.27648510705447e-22,3.34253588725273,0.414,0.082,1.39267870912209e-17,"BCL11B","Upregulated"
"IGHA1",9.78587755949057e-40,3.26914366354486,0.958,0.519,1.46915379800632e-35,"IGHA1","Upregulated"
